id,Class,BreedCount,Eyes,specialGenes,Ears,specialGenes,Back,specialGenes,Mouth,specialGenes,Horn,specialGenes,Tail,specialGenes,Date,Price,PriceUSD
11333618,Bug,4,mavis,,gill,,snail-shell,,mosquito,,parasite,,cottontail,,2024-01-06 17:50:06,0.0156,35.10624
5355802,Aquatic,4,telescope,,innocent-lamb,,goldfish,,lam,,shoal-star,,nimo,,2024-01-06 17:49:57,0.0022,4.95088
1225165,Aquatic,2,clear,,gill,,goldfish,,silence-whisper,,oranda,,grass-snake,,2024-01-06 17:49:36,0.001397379229558193,3.144662218197758
939432,Reptile,4,clear,,early-bird,,snail-shell,,tiny-turtle,,lagging,,thorny-caterpillar,,2024-01-06 17:49:21,0.00198,4.455792
11422921,Reptile,3,gecko,,small-frill,,green-thorns,,kotaro,,cerastes,,snake-jar,,2024-01-06 17:49:12,0.0065,14.6276
11901436,Reptile,0,scar,,small-frill,,green-thorns,,kotaro,,scaly-spoon,,yam,,2024-01-06 17:49:12,0.009,20.2536
5377909,Plant,0,blossom,,nimo,,pumpkin,,serious,,leaf-bug,,yam,,2024-01-06 17:49:03,0.0014,3.15056
3314217,Plant,3,confused,,rosa,,pumpkin,,mosquito,,eggshell,,carrot,,2024-01-06 17:49:03,0.00135,3.03804
11886299,Mech,4,robin,,owl,,furball,,toothless-bite,,arco,,twin-tail,,2024-01-06 17:48:45,0.012345678901234568,27.78271579933827
1389110,Plant,3,papi,,clover,,pumpkin,,pincer,,rose-bud,,hatsune,,2024-01-06 17:48:27,0.0049,11.02696
10507051,Plant,2,confused,,lotus,,bidens,,zigzag,,cactus,,gravel-ant,,2024-01-06 17:48:06,0.00266897260188625,6.006255943284817
2695532,Plant,3,papi,,hollow,,hermit,,serious,,beech,,cattail,,2024-01-06 17:47:45,0.0014,3.15056
11777561,Dusk,2,tricky,,inkling,,sandal,,doubletalk,,babylonia,,cottontail,,2024-01-06 17:47:45,0.00227,5.108408
6509190,Mech,3,chubby,,lotus,,ronin,,nut-cracker,,imp,,nut-cracker,,2024-01-06 17:47:45,0.001487609878512844,3.347717270605304
10810297,Aquatic,3,clear,,bubblemaker,,scarab,,lam,,arco,,nimo,,2024-01-06 17:47:15,0.006,13.5024
5667515,Plant,1,confused,,hollow,,pumpkin,,serious,,cactus,,carrot,,2024-01-06 17:46:54,0.0014,3.15056
323580,Bird,3,mavis,,early-bird,,raven,,little-owl,,eggshell,,the-last-one,,2024-01-06 17:46:36,0.001751,3.9404504
1355083,Plant,3,papi,,sakura,,pumpkin,,serious,,cactus,,carrot,,2024-01-06 17:46:30,0.0014,3.15056
8422136,Plant,1,confused,,lotus,,watering-can,,serious,,cactus,,carrot,,2024-01-06 17:46:12,0.0014,3.15056
