id,Class,BreedCount,Eyes,specialGenes,Ears,specialGenes,Back,specialGenes,Mouth,specialGenes,Horn,specialGenes,Tail,specialGenes,Date,Price,PriceUSD
11246680,Plant,2,eyes-scar,,ears-clover,,back-sandal,,mouth-goda,,horn-beech,,tail-cattail,,2024-01-06 16:23:57,0.0065,14.611675
3833373,Plant,0,eyes-confused,,ears-leafy,,back-pumpkin,,mouth-serious,,horn-cactus,,tail-hot-butt,,2024-01-06 16:23:30,0.0015,3.371925
11259479,Aquatic,3,eyes-gero,,ears-inkling,,back-spiky-wing,,mouth-piranha,,horn-oranda,,tail-koi,,2024-01-06 16:23:00,0.0085,19.107575
10978136,Plant,3,eyes-papi,,ears-clover,,back-bidens,,mouth-goda,,horn-beech,,tail-cattail,,2024-01-06 16:22:30,0.0032,7.19344
5011810,Reptile,2,eyes-blossom,,ears-pogona,,back-sandal,,mouth-tiny-turtle,,horn-caterpillars,,tail-tiny-dino,,2024-01-06 16:22:27,0.0016,3.59672
11909593,Reptile,3,eyes-gecko,,ears-small-frill,,back-green-thorns,,mouth-toothless-bite,,horn-scaly-spoon,,tail-gila,,2024-01-06 16:22:24,0.00689,15.4883755
11322476,Bug,4,eyes-tricky,,ears-pogona,,back-snail-shell,,mouth-zigzag,,horn-caterpillars,,tail-cottontail,,2024-01-06 16:22:24,0.00165,3.7091175
2115548,Reptile,0,eyes-topaz,,ears-bubblemaker,,back-snail-shell,,mouth-tiny-turtle,,horn-lagging,,tail-potato-leaf,,2024-01-06 16:22:09,0.0019899,4.473195705
11724893,Reptile,3,eyes-nerdy,,ears-small-frill,,back-green-thorns,,mouth-tiny-turtle,,horn-scaly-spoon,,tail-cottontail,,2024-01-06 16:21:54,0.0035,7.867825
7818482,Aquatic,0,eyes-sleepless,,ears-sidebarb,,back-garish-worm,,mouth-lam,,horn-shoal-star,,tail-nimo,,2024-01-06 16:21:24,0.001679999999999999,3.776555999999998
11706432,Dusk,0,eyes-clear,,ears-nimo,,back-sponge,,mouth-square-teeth,,horn-leaf-bug,,tail-nimo,,2024-01-06 16:20:48,0.009,20.23155
10824348,Bird,0,eyes-little-owl,,ears-owl,,back-pigeon-post,,mouth-little-owl,,horn-eggshell,,tail-hare,,2024-01-06 16:20:39,0.0063,14.162085
2100535,Bird,3,eyes-mavis,,ears-pink-cheek,,back-raven,,mouth-little-owl,,horn-eggshell,,tail-granmas-fan,,2024-01-06 16:20:30,0.001799999999999999,4.046309999999998
440767,Bird,2,eyes-mavis,,ears-pink-cheek,,back-raven,,mouth-pincer,,horn-eggshell,,tail-the-last-one,,2024-01-06 16:20:18,0.001452049768518518,3.264135277141203
3985484,Aquatic,2,eyes-telescope,,ears-bubblemaker,,back-goldfish,,mouth-risky-fish,,horn-shoal-star,,tail-koi,,2024-01-06 16:19:27,0.001440360152427739,3.237857604649936
8651762,Dusk,3,eyes-robin,,ears-bubblemaker,,back-snail-shell,,mouth-tiny-turtle,,horn-lagging,,tail-thorny-caterpillar,,2024-01-06 16:18:51,0.001803435494836851,4.054032820618499
8683085,Aquatic,0,eyes-clear,,ears-bubblemaker,,back-goldfish,,mouth-risky-fish,,horn-oranda,,tail-koi,,2024-01-06 16:18:51,0.0028,6.29426
11950445,Bird,0,eyes-sleepless,,ears-nimo,,back-sandal,,mouth-square-teeth,,horn-babylonia,,tail-feather-fan,,2024-01-06 16:18:12,0.00855337962962963,19.22756973842593
9197079,Plant,1,eyes-papi,,ears-lotus,,back-watering-can,,mouth-serious,,horn-leaf-bug,,tail-yam,,2024-01-06 16:17:57,0.0014,3.14713
5723151,Aquatic,3,eyes-telescope,,ears-tiny-fan,,back-hermit,,mouth-lam,,horn-oranda,,tail-ranchu,,2024-01-06 16:17:48,0.00145,3.2595275
10010753,Plant,1,eyes-papi,,ears-beetle-spike,,back-bidens,,mouth-zigzag,,horn-beech,,tail-hot-butt,,2024-01-06 16:17:21,0.001709999999999999,3.843994499999998
1293645,Beast,0,eyes-little-peas,,ears-nut-cracker,,back-ronin,,mouth-nut-cracker,,horn-imp,,tail-nut-cracker,,2024-01-06 16:17:09,0.007,15.73565
11939558,Plant,0,eyes-topaz,,ears-innocent-lamb,,back-timber,,mouth-square-teeth,,horn-caterpillars,,tail-nimo,,2024-01-06 16:17:09,0.0044,9.89098
8515483,Aquatic,0,eyes-telescope,,ears-peace-maker,,back-balloon,,mouth-doubletalk,,horn-clamshell,,tail-koi,,2024-01-06 16:16:36,0.0015,3.371925
879303,Beast,2,eyes-chubby,,ears-nut-cracker,,back-ronin,,mouth-nut-cracker,,horn-imp,,tail-ant,,2024-01-06 16:16:30,0.0018999,4.270880205
6745079,Dusk,5,eyes-clear,,ears-owl,,back-snail-shell,,mouth-tiny-turtle,,horn-lagging,,tail-thorny-caterpillar,,2024-01-06 16:16:15,0.002545081018518519,5.721214875578705
11906238,Reptile,2,eyes-gecko,,ears-small-frill,,back-green-thorns,,mouth-lam,,horn-scaly-spoon,,tail-gila,,2024-01-06 16:16:15,0.006839059109737655,15.37386292573476
3776165,Plant,1,eyes-bookworm,,ears-risky-bird,,back-watering-can,,mouth-doubletalk,,horn-teal-shell,,tail-thorny-caterpillar,,2024-01-06 16:16:09,0.0017499,3.933687705
1419805,Aquatic,2,eyes-gero,,ears-swirl,,back-anemone,,mouth-piranha,,horn-shoal-star,,tail-nimo,,2024-01-06 16:16:06,0.002,4.4959
11173802,Reptile,2,eyes-scar,,ears-pogona,,back-indian-star,,mouth-kotaro,,horn-scaly-spoon,,tail-tiny-dino,,2024-01-06 16:16:03,0.003702,8.3219109
5810239,Aquatic,2,eyes-telescope,,ears-bubblemaker,,back-goldfish,,mouth-mosquito,,horn-shoal-star,,tail-koi,,2024-01-06 16:15:57,0.001393276782407408,3.132016543012733
11698862,Beast,7,eyes-kotaro,,ears-earwing,,back-buzz-buzz,,mouth-hungry-bird,,horn-dual-blade,,tail-granmas-fan,,2024-01-06 16:15:36,0.007933389621964843,17.83386320069587
11931476,Dawn,2,eyes-sleepless,,ears-nimo,,back-sandal,,mouth-risky-fish,,horn-babylonia,,tail-nimo,,2024-01-06 16:15:27,0.0136,30.57212
864642,Plant,4,eyes-papi,,ears-leafy,,back-pumpkin,,mouth-serious,,horn-bamboo-shoot,,tail-hot-butt,,2024-01-06 16:15:24,0.003,6.74385
8240470,Aquatic,3,eyes-telescope,,ears-gill,,back-goldfish,,mouth-lam,,horn-shoal-star,,tail-koi,,2024-01-06 16:15:18,0.001477532059441211,3.32141819302087
11779705,Bug,0,eyes-topaz,,ears-innocent-lamb,,back-timber,,mouth-cute-bunny,,horn-bumpy,,tail-nimo,,2024-01-06 16:15:15,0.004999999,11.23974775205
6868602,Aquatic,0,eyes-clear,,ears-tiny-fan,,back-goldfish,,mouth-risky-fish,,horn-oranda,,tail-nimo,,2024-01-06 16:15:06,0.001853999999999999,4.167699299999998
218090,Plant,2,eyes-papi,,ears-hollow,,back-watering-can,,mouth-serious,,horn-bamboo-shoot,,tail-carrot,,2024-01-06 16:14:54,0.00153,3.4393635
10777516,Mech,4,eyes-robin,,ears-nyan,,back-hero,,mouth-axie-kiss,,horn-dual-blade,,tail-hare,,2024-01-06 16:14:21,0.00165,3.7091175
6381078,Reptile,0,eyes-clear,,ears-seaslug,,back-snail-shell,,mouth-nut-cracker,,horn-lagging,,tail-thorny-caterpillar,,2024-01-06 16:14:21,0.00151748627601252,3.411233274162344
11930743,Mech,3,eyes-sleepless,,ears-seaslug,,back-anemone,,mouth-lam,,horn-anemone,,tail-nimo,,2024-01-06 16:14:03,0.019,42.71105
11637120,Mech,0,eyes-nerdy,,ears-tassels,,back-indian-star,,mouth-silence-whisper,,horn-scaly-spoon,,tail-ant,,2024-01-06 16:14:03,0.01,22.4795
5819790,Reptile,2,eyes-lucas,,ears-gill,,back-snail-shell,,mouth-herbivore,,horn-lagging,,tail-thorny-caterpillar,,2024-01-06 16:13:51,0.001506466301340429,3.386460922098217
11939704,Aquatic,0,eyes-gero,,ears-seaslug,,back-turnip,,mouth-square-teeth,,horn-babylonia,,tail-nimo,,2024-01-06 16:13:27,0.001763327657256874,3.96387240713059
11789473,Reptile,3,eyes-neo,,ears-inkling,,back-raven,,mouth-zigzag,,horn-parasite,,tail-cottontail,,2024-01-06 16:13:18,0.003,6.74385
5273389,Reptile,4,eyes-confused,,ears-clover,,back-snail-shell,,mouth-tiny-turtle,,horn-lagging,,tail-thorny-caterpillar,,2024-01-06 16:13:06,0.003,6.74385
2812444,Plant,4,eyes-papi,,ears-sakura,,back-pumpkin,,mouth-serious,,horn-leaf-bug,,tail-carrot,,2024-01-06 16:12:48,0.00156,3.506802
6403829,Beast,3,eyes-chubby,,ears-nyan,,back-ronin,,mouth-nut-cracker,,horn-dual-blade,,tail-nut-cracker,,2024-01-06 16:12:48,0.002537468388614896,5.704102064186855
11753583,Aquatic,1,eyes-little-owl,,ears-inkling,,back-raven,,mouth-catfish,,horn-parasite,,tail-tadpole,,2024-01-06 16:12:48,0.002,4.4959
8557664,Plant,3,eyes-papi,,ears-rosa,,back-pumpkin,,mouth-serious,,horn-leaf-bug,,tail-carrot,,2024-01-06 16:12:42,0.0015,3.371925
621901,Plant,3,eyes-papi,,ears-rosa,,back-shiitake,,mouth-zigzag,,horn-beech,,tail-feather-fan,,2024-01-06 16:12:39,0.00138,3.102171
9936720,Dusk,0,eyes-sleepless,,ears-nyan,,back-tri-feather,,mouth-tiny-turtle,,horn-wing-horn,,tail-gila,,2024-01-06 16:12:09,0.002,4.4959
10935631,Aquatic,0,eyes-clear,,ears-inkling,,back-anemone,,mouth-lam,,horn-anemone,,tail-nimo,,2024-01-06 16:11:57,0.00226,5.080367
798720,Aquatic,3,eyes-telescope,,ears-bubblemaker,,back-snail-shell,,mouth-goda,,horn-shoal-star,,tail-koi,,2024-01-06 16:11:51,0.001378179717542965,3.098079096050708
7935411,Aquatic,0,eyes-telescope,,ears-inkling,,back-perch,,mouth-risky-fish,,horn-babylonia,,tail-nimo,,2024-01-06 16:11:45,0.0046,10.34057
6304601,Aquatic,6,eyes-gero,,ears-inkling,,back-blue-moon,,mouth-risky-fish,,horn-cuckoo,,tail-koi,,2024-01-06 16:11:45,0.002958045009841598,6.64953727987342
276464,Beast,4,eyes-chubby,,ears-nyan,,back-ronin,,mouth-nut-cracker,,horn-imp,,tail-cottontail,,2024-01-06 16:11:39,0.0015,3.371925
4721371,Reptile,4,eyes-clear,,ears-pogona,,back-snail-shell,,mouth-tiny-turtle,,horn-lagging,,tail-thorny-caterpillar,,2024-01-06 16:11:33,0.002812581193627466,6.322541894214862
10775957,Aquatic,0,eyes-telescope,,ears-clover,,back-hermit,,mouth-risky-fish,,horn-eggshell,,tail-koi,,2024-01-06 16:11:24,0.0017499,3.933687705
10915769,Dusk,4,eyes-mavis,,ears-early-bird,,back-green-thorns,,mouth-tiny-turtle,,horn-kestrel,,tail-hot-butt,,2024-01-06 16:11:18,0.00315,7.0810425
7810591,Aquatic,0,eyes-clear,,ears-nimo,,back-anemone,,mouth-lam,,horn-cactus,,tail-hare,,2024-01-06 16:11:06,0.001369,3.07744355
11941818,Bug,2,eyes-topaz,,ears-innocent-lamb,,back-sandal,,mouth-little-owl,,horn-babylonia,,tail-nimo,,2024-01-06 16:10:51,0.0025,5.619875
11368387,Beast,0,eyes-blossom,,ears-nut-cracker,,back-pumpkin,,mouth-nut-cracker,,horn-imp,,tail-hot-butt,,2024-01-06 16:10:42,0.001400607768762996,3.148496233790777
4664843,Plant,2,eyes-papi,,ears-sidebarb,,back-pumpkin,,mouth-serious,,horn-beech,,tail-carrot,,2024-01-06 16:10:42,0.00147,3.3044865
6980991,Aquatic,4,eyes-clear,,ears-inkling,,back-goldfish,,mouth-risky-fish,,horn-shoal-star,,tail-nimo,,2024-01-06 16:10:33,0.001769746787327163,3.978302290572096
441770,Aquatic,2,eyes-scar,,ears-bubblemaker,,back-goldfish,,mouth-risky-fish,,horn-oranda,,tail-koi,,2024-01-06 16:10:33,0.0015,3.371925
475810,Beast,3,eyes-chubby,,ears-nut-cracker,,back-spiky-wing,,mouth-nut-cracker,,horn-imp,,tail-shrimp,,2024-01-06 16:10:24,0.001518416496644198,3.413324363631325
11792408,Bug,2,eyes-topaz,,ears-innocent-lamb,,back-timber,,mouth-square-teeth,,horn-trump,,tail-nimo,,2024-01-06 16:10:21,0.0025,5.619875
3523668,Aquatic,6,eyes-clear,,ears-bubblemaker,,back-goldfish,,mouth-risky-fish,,horn-shoal-star,,tail-nimo,,2024-01-06 16:10:18,0.0078,17.53401
5563365,Beast,2,eyes-little-owl,,ears-nyan,,back-ronin,,mouth-square-teeth,,horn-bumpy,,tail-rice,,2024-01-06 16:10:06,0.001398155601851852,3.142983885182871
8071159,Plant,0,eyes-lucas,,ears-pogona,,back-pumpkin,,mouth-serious,,horn-parasite,,tail-yam,,2024-01-06 16:10:03,0.00137,3.0796915
5708810,Aquatic,4,eyes-clear,,ears-bubblemaker,,back-goldfish,,mouth-risky-fish,,horn-cuckoo,,tail-koi,,2024-01-06 16:10:03,0.002289123823865527,5.145835899858511
1008327,Reptile,4,eyes-clear,,ears-curved-spine,,back-snail-shell,,mouth-tiny-turtle,,horn-lagging,,tail-thorny-caterpillar,,2024-01-06 16:10:03,0.003,6.74385
4332897,Plant,4,eyes-papi,,ears-sakura,,back-watering-can,,mouth-serious,,horn-cactus,,tail-cattail,,2024-01-06 16:09:57,0.002999209592897169,6.742073204353191
